id,title,author,genre,language,publicationYear,publisher,description,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year,isbn
112,"The God of Small Things","Arundhati Roy","Drama","English",1997,"IndiaInk","The childhood experiences of fraternal twins establish the rules of society in Kerala, India.",321,"india,family,caste,tragedy",3.95,"India",TRUE,"Booker Prize","Adult",FALSE,,"978-0812979657"
113,"The Goldfinch","Donna Tartt","Bildungsroman","English",2013,"Little, Brown","A boy survives a terrorist bombing at an art museum and keeps a small painting that draws him into the underworld.",771,"art,crime,coming-of-age",3.92,"USA",TRUE,"Pulitzer Prize","Adult",TRUE,2019,"978-0316055437"
114,"All the Light We Cannot See","Anthony Doerr","Historical Fiction","English",2014,"Scribner","A blind French girl and a German boy's paths collide in occupied France during WWII.",531,"war,history,radio,blindness",4.33,"USA",TRUE,"Pulitzer Prize","Adult",TRUE,2023,"978-1501161933"
115,"The Nightingale","Kristin Hannah","Historical Fiction","English",2015,"St. Martin's Press","Two sisters in France struggle to survive and resist the German occupation of WWII.",440,"war,sisters,france,resistance",4.60,"USA",TRUE,"Goodreads Choice Award","Adult",TRUE,2024,"978-0312577223"
116,"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid","Romance","English",2017,"Atria Books","An aging Hollywood icon recounts her glamorous and scandalous life to an unknown reporter.",389,"hollywood,lgbt,romance",4.43,"USA",TRUE,"Goodreads Choice Award","Adult",TRUE,2025,"978-1501161933"
117,"Daisy Jones & The Six","Taylor Jenkins Reid","Historical Fiction","English",2019,"Ballantine Books","An oral history of a fictional rock band's rise and fall in the 1970s.",355,"music,70s,rock,interview",4.20,"USA",TRUE,"None","Adult",TRUE,2023,"978-1524798628"
118,"It Ends with Us","Colleen Hoover","Romance","English",2016,"Atria Books","Lily falls for a neurosurgeon but finds herself in an abusive relationship.",384,"romance,abuse,contemporary",4.24,"USA",TRUE,"Goodreads Choice Award","Adult",TRUE,2024,"978-1501110368"
119,"Big Little Lies","Liane Moriarty","Mystery","English",2014,"Putnam","A murder investigation reveals the secrets of three women in a beachfront community.",460,"secrets,marriage,australia",4.28,"Australia",TRUE,"None","Adult",TRUE,2017,"978-0399167065"
120,"Sharp Objects","Gillian Flynn","Thriller","English",2006,"Shaye Areheart","A reporter returns to her hometown to cover a series of murders and confronts her own past.",254,"mystery,dark,crime,family",4.00,"USA",TRUE,"None","Adult",TRUE,2018,"978-0307341556"
121,"The Woman in the Window","A.J. Finn","Thriller","English",2018,"William Morrow","An agoraphobic woman witnesses a crime in her neighbor's house.",427,"mystery,suspense,crime",3.95,"USA",TRUE,"None","Adult",TRUE,2021,"978-0062678416"
122,"Steve Jobs","Walter Isaacson","Biography","English",2011,"Simon & Schuster","The exclusive biography of the creative entrepreneur who revolutionized technology.",656,"tech,biography,apple,business",4.15,"USA",TRUE,"None","Adult",TRUE,2015,"978-1451648539"
123,"Educated","Tara Westover","Memoir","English",2018,"Random House","A woman grows up in a survivalist family in Idaho and eventually escapes to get an education.",334,"memoir,family,education",4.47,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0399590504"
124,"Becoming","Michelle Obama","Memoir","English",2018,"Crown","The memoir of the former First Lady of the United States.",426,"politics,memoir,women",4.49,"USA",TRUE,"Grammy Award","Adult",TRUE,2020,"978-1524763138"
125,"Born a Crime","Trevor Noah","Memoir","English",2016,"Spiegel & Grau","Stories of growing up in South Africa during and after apartheid.",289,"humor,africa,memoir",4.49,"South Africa",TRUE,"Thurber Prize","Adult",FALSE,,"978-0399588174"
126,"Quiet: The Power of Introverts","Susan Cain","Non-fiction","English",2012,"Crown","An examination of how society undervalues introverts and the power they hold.",352,"psychology,business,self-help",4.07,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0307352156"
127,"Atomic Habits","James Clear","Self-Help","English",2018,"Avery","A guide to building good habits and breaking bad ones through small changes.",319,"psychology,growth,productivity",4.35,"USA",TRUE,"None","Adult",FALSE,,"978-0735211292"
128,"Thinking, Fast and Slow","Daniel Kahneman","Psychology","English",2011,"Farrar, Straus and Giroux","A breakdown of the two systems that drive the way we think.",499,"science,psychology,economics",4.18,"Israel",TRUE,"National Academy of Sciences Best Book","Adult",FALSE,,"978-0374275631"
129,"Sapiens: A Brief History of Humankind","Yuval Noah Harari","History","English",2011,"Harvill Secker","A survey of the history of humankind from the Stone Age to the twenty-first century.",443,"history,anthropology,science",4.36,"Israel",TRUE,"Wenjin Book Award","Adult",FALSE,,"978-0062316097"
130,"Outliers: The Story of Success","Malcolm Gladwell","Non-fiction","English",2008,"Little, Brown","An investigation into the factors that contribute to high levels of success.",309,"sociology,success,psychology",4.18,"Canada",TRUE,"None","Adult",FALSE,,"978-0316017930"
131,"The Immortal Life of Henrietta Lacks","Rebecca Skloot","Biography","English",2010,"Crown","The story of a woman whose cells were harvested without her consent and changed science.",369,"science,history,medicine",4.07,"USA",TRUE,"National Academies Communication Award","Adult",TRUE,2017,"978-1400052189"
132,"Into Thin Air","Jon Krakauer","Non-fiction","English",1997,"Villard","A personal account of the 1996 Mount Everest disaster.",332,"adventure,mountain,tragedy",4.19,"USA",TRUE,"None","Adult",TRUE,1997,"978-0385494786"
133,"Wild","Cheryl Strayed","Memoir","English",2012,"Knopf","A woman hikes the Pacific Crest Trail alone to recover from personal tragedy.",315,"travel,nature,memoir",4.01,"USA",TRUE,"None","Adult",TRUE,2014,"978-0307592736"
134,"Eat, Pray, Love","Elizabeth Gilbert","Memoir","English",2006,"Viking","A woman travels to Italy, India, and Indonesia to find balance in her life.",334,"travel,romance,food",3.60,"USA",TRUE,"None","Adult",TRUE,2010,"978-0143038412"
135,"The Glass Castle","Jeannette Walls","Memoir","English",2005,"Scribner","A memoir about growing up in a poverty-stricken and unconventional family.",288,"family,poverty,memoir",4.28,"USA",TRUE,"Christopher Award","Adult",TRUE,2017,"978-0743247542"
136,"Good Omens","Terry Pratchett & Neil Gaiman","Fantasy","English",1990,"Gollancz","An angel and a demon join forces to stop the coming Apocalypse.",412,"humor,magic,satire",4.24,"UK",TRUE,"None","Adult",TRUE,2019,"978-0060853983"
137,"The Color of Magic","Terry Pratchett","Fantasy","English",1983,"Colin Smythe","The first novel in the Discworld series, following the inept wizard Rincewind.",206,"humor,magic,discworld",3.99,"UK",TRUE,"None","Adult",TRUE,2008,"978-0062225672"
138,"Americanah","Chimamanda Ngozi Adichie","Romance","English",2013,"Knopf","A young Nigerian woman emigrates to the United States for university.",588,"race,africa,immigration",4.30,"Nigeria",TRUE,"National Book Critics Circle Award","Adult",TRUE,,"978-0307271082"
139,"Pachinko","Min Jin Lee","Historical Fiction","English",2017,"Grand Central","A saga about four generations of a Korean immigrant family in Japan.",490,"history,japan,korea,family",4.31,"USA",TRUE,"National Book Award Finalist","Adult",TRUE,2022,"978-1455563937"
140,"Homegoing","Yaa Gyasi","Historical Fiction","English",2016,"Knopf","The parallel paths of two half-sisters and their descendants from Ghana to the US.",300,"history,slavery,africa,family",4.48,"Ghana",TRUE,"John Leonard Prize","Adult",FALSE,,"978-1101947135"
141,"Station Eleven","Emily St. John Mandel","Sci-Fi","English",2014,"Knopf","A traveling symphony performs Shakespeare in a post-apocalyptic world.",333,"dystopia,pandemic,art",4.04,"Canada",TRUE,"Arthur C. Clarke Award","Adult",TRUE,2021,"978-0385353304"
142,"Circe","Madeline Miller","Fantasy","English",2018,"Little, Brown","A retelling of the Greek myth of Circe, the daughter of Helios.",393,"mythology,magic,feminism",4.24,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0316556347"
143,"The Song of Achilles","Madeline Miller","Historical Fiction","English",2011,"Ecco","A retelling of the Trojan War focusing on the relationship between Achilles and Patroclus.",378,"mythology,romance,war",4.42,"USA",TRUE,"Orange Prize","Adult",FALSE,,"978-0062060624"
144,"Normal People","Sally Rooney","Romance","English",2018,"Faber & Faber","The complex relationship between two teenagers from different social classes in Ireland.",273,"love,ireland,coming-of-age",3.81,"Ireland",TRUE,"British Book Award","Adult",TRUE,2020,"978-1984822178"
145,"Conversations with Friends","Sally Rooney","Fiction","English",2017,"Faber & Faber","Two college students form an unexpected connection with a married couple.",304,"love,relationships,ireland",3.48,"Ireland",TRUE,"None","Adult",TRUE,2022,"978-0571333127"
146,"Eleanor Oliphant Is Completely Fine","Gail Honeyman","Fiction","English",2017,"HarperCollins","A socially awkward woman learns to open her heart and heal old wounds.",336,"loneliness,mental health,humor",4.25,"UK",TRUE,"Costa Book Award","Adult",FALSE,,"978-0735220683"
147,"A Man Called Ove","Fredrik Backman","Fiction","English",2012,"Forum","A grumpy old man plans to end his life but is interrupted by his new neighbors.",337,"humor,sweden,heartwarming",4.37,"Sweden",TRUE,"None","Adult",TRUE,2015,"978-1476738024"
148,"Beartown","Fredrik Backman","Drama","English",2016,"Pir","A junior hockey team carries the hopes of a small, declining town.",418,"sports,community,tragedy",4.32,"Sweden",TRUE,"Goodreads Choice Award Finalist","Adult",TRUE,2020,"978-1501160769"
149,"Dark Matter","Blake Crouch","Sci-Fi","English",2016,"Crown","A physics professor is kidnapped and wakes up in a world where he is a celebrated genius.",342,"multiverse,thriller,science",4.11,"USA",TRUE,"None","Adult",TRUE,2024,"978-1101904220"
150,"Project Hail Mary","Andy Weir","Sci-Fi","English",2021,"Ballantine Books","A lone astronaut wakes up on a spaceship with no memory and a mission to save Earth.",476,"space,science,aliens,survival",4.51,"USA",TRUE,"Dragon Award","Adult",TRUE,2025,"978-0593135204"
151,"And Then There Were None","Agatha Christie","Mystery","English",1939,"Collins Crime Club","Ten strangers are invited to an island by a mysterious host, and one by one, they start dying.",264,"crime,island,suspense,classic",4.26,"UK",TRUE,"None","Adult",TRUE,1945,"978-0062073488"
152,"The Big Sleep","Raymond Chandler","Crime","English",1939,"Knopf","Private investigator Philip Marlowe is hired by a wealthy general to stop a blackmailer.",231,"noir,detective,los angeles",4.00,"USA",TRUE,"None","Adult",TRUE,1946,"978-0394758282"
153,"The Maltese Falcon","Dashiell Hammett","Crime","English",1930,"Knopf","Detective Sam Spade gets caught in a hunt for a priceless statuette.",217,"noir,detective,mystery",3.94,"USA",TRUE,"None","Adult",TRUE,1941,"978-0679722649"
154,"V for Vendetta","Alan Moore","Graphic Novel","English",1982,"Vertigo","An anarchist freedom fighter challenges a fascist regime in a dystopian United Kingdom.",296,"dystopia,anarchy,politics",4.25,"UK",TRUE,"Prometheus Hall of Fame","Adult",TRUE,2005,"978-1401208417"
155,"Watchmen","Alan Moore","Graphic Novel","English",1986,"DC Comics","A group of retired superheroes investigate the murder of one of their own.",416,"superheroes,cold war,noir",4.36,"USA",TRUE,"Hugo Award","Adult",TRUE,2009,"978-0930289232"
156,"Maus","Art Spiegelman","Graphic Novel","English",1980,"Pantheon","A Jewish survivor of the Holocaust tells his story to his son, depicted with animals.",296,"history,holocaust,memoir",4.56,"USA",TRUE,"Pulitzer Prize","Adult",FALSE,,"978-0679406419"
157,"Persepolis","Marjane Satrapi","Memoir","English",2000,"L'Association","A young girl's coming-of-age story during the Iranian Revolution.",341,"iran,history,graphic novel",4.25,"France",TRUE,"None","Adult",TRUE,2007,"978-0375714573"
158,"Man's Search for Meaning","Viktor E. Frankl","Psychology","English",1946,"Verlag für Jugend und Volk","A psychiatrist recounts his life in Nazi death camps and his spiritual lessons for survival.",165,"holocaust,philosophy,psychology",4.36,"Austria",TRUE,"None","Adult",FALSE,,"978-0807014295"
159,"Thinking in Systems","Donella H. Meadows","Non-fiction","English",2008,"Chelsea Green","An introduction to systems thinking and how to solve complex problems.",240,"science,management,philosophy",4.20,"USA",FALSE,"None","Adult",FALSE,,"978-1603580557"
160,"Zero to One","Peter Thiel","Business","English",2014,"Crown Business","Notes on startups, or how to build the future.",195,"business,startup,tech",4.17,"USA",TRUE,"None","Adult",FALSE,,"978-0804139298"
161,"The Lean Startup","Eric Ries","Business","English",2011,"Crown Business","How today's entrepreneurs use continuous innovation to create radically successful businesses.",336,"business,management,tech",4.10,"USA",TRUE,"None","Adult",FALSE,,"978-0307887817"
162,"Grit: The Power of Passion and Perseverance","Angela Duckworth","Psychology","English",2016,"Scribner","A psychologist argues that the secret to outstanding achievement is not talent but grit.",333,"success,psychology,self-help",4.08,"USA",TRUE,"None","Adult",FALSE,,"978-1501111105"
163,"Mindset: The New Psychology of Success","Carol S. Dweck","Psychology","English",2006,"Random House","The differences between a fixed mindset and a growth mindset.",320,"psychology,growth,education",4.08,"USA",TRUE,"None","Adult",FALSE,,"978-0345472328"
164,"Flow: The Psychology of Optimal Experience","Mihaly Csikszentmihalyi","Psychology","English",1990,"Harper & Row","Investigations into the optimal state of being where we feel our best and perform our best.",303,"psychology,happiness,science",4.11,"USA",TRUE,"None","Adult",FALSE,,"978-0061339202"
165,"The Prophet","Kahlil Gibran","Poetry","English",1923,"Knopf","A collection of poetic essays on love, marriage, children, and other topics.",127,"philosophy,spirituality,classic",4.24,"Lebanon",TRUE,"None","Adult",TRUE,2014,"978-0394404288"
166,"Siddhartha","Hermann Hesse","Philosophy","English",1922,"New Directions","A man's spiritual journey of self-discovery during the time of the Buddha.",152,"buddhism,india,classic",4.05,"Germany",TRUE,"Nobel Prize","Adult",TRUE,1972,"978-0553208849"
167,"Steppenwolf","Hermann Hesse","Philosophy","English",1927,"S. Fischer Verlag","A middle-aged intellectual struggles with his dual nature of human and wolf.",237,"psychology,classic,loneliness",3.95,"Germany",TRUE,"Nobel Prize","Adult",TRUE,1974,"978-0312278670"
168,"East of Eden","John Steinbeck","Historical Fiction","English",1952,"Viking Press","A modern retelling of the book of Genesis set in the Salinas Valley of California.",601,"classic,family,good vs evil",4.38,"USA",TRUE,"Nobel Prize","Adult",TRUE,1955,"978-0140186390"
169,"The Sun Also Rises","Ernest Hemingway","Modernist","English",1926,"Scribner","American and British expatriates travel from Paris to the Festival of San Fermín in Pamplona.",251,"travel,spain,lost generation",3.84,"USA",TRUE,"None","Adult",TRUE,1957,"978-0743297332"
